bus,direction,asset,carrier,facade_type,Capacity,Storage Capacity,Expandable,Investments,Capacity Total
ac-elec-bus,in,elec-demand,electricity,load,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,,,,,
ac-elec-bus,out,electricity-grid,electricity,dispatchable,0.0,,1.0,63.692982,63.692982
ac-elec-bus,out,inverter,electricity,conversion,0.0,,1.0,14.475672,14.475672
brine-bus,in,brine-excess,water,excess,,,,,
dc-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,1.0,-0.0,0.0
dc-elec-bus,in,inverter,electricity,conversion,0.0,,1.0,,
dc-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,1.0,-0.0,0.0
dc-elec-bus,out,pv-panel,electricity,volatile,21.36,,1.0,0.0,21.360000610351562
drinking-water-bus,in,drinking-water-storage,water,storage,0.0,0.0,1.0,-0.0,0.0
drinking-water-bus,out,drinking-water-storage,water,storage,0.0,0.0,1.0,-0.0,0.0
service-water-bus,in,service-water-storage,water,storage,0.0,0.0,1.0,-0.0,0.0
service-water-bus,out,service-water-storage,water,storage,0.0,0.0,1.0,-0.0,0.0
solar-bus,out,solar-resource,energy,dispatchable,0.0,,1.0,-0.0,0.0
